Chemische Elemente
Symbol # Elementgruppe
Zu welcher Gruppe im Periodensystem gehört das chemische Element <>?

H # Nichtmetall
He # Edelgas
Li # Alkalimetall
Be # Erdalkalimetall
B # Halbmetall
C # Nichtmetall
N # Nichtmetall
O # Nichtmetall
F # Halogen
Ne # Edelgas
Na # Alkalimetall
Mg # Erdalkalimetall
Al # Metall, Leichtmetall
Si # Halbleiter
P # Nichtmetall
S # Nichtmetall
Cl # Halogen
Ar # Edelgas
K # Alkalimetall
Ca # Erdalkalimetall
Sc # Übergangsmetall
Ti # Übergangsmetall
V # Übergangsmetall
Cr # Übergangsmetall
Mn # Übergangsmetall
Fe # Übergangsmetall
Co # Übergangsmetall
Ni # Übergangsmetall
Cu # Übergangsmetall
Zn # Übergangsmetall
Ga # Metall
Ge # Halbmetall
As # Halbmetall
Se # Halbmetall
Br # Halogen
Kr # Edelgas
Rb # Alkalimetall
Sr # Erdalkalimetall
Y # Übergangsmetall
Zr # Übergangsmetall
Nb # Übergangsmetall
Mo # Übergangsmetall
Tc # Übergangsmetall
Ru # Übergangsmetall
Rh # Übergangsmetall
Pd # Übergangsmetall
Ag # Übergangsmetall
Cd # Übergangsmetall
In # Metall
Sn # Metall
Sb # Halbmetall
Te # Halbmetall
I # Halogen
Xe # Edelgas
Cs # Alkalimetall
Ba # Erdalkalimetall
La # Übergangsmetall
Ce # Lanthanoide
Pr # Lanthanoide
Nd # Lanthanoide
Pm # Lanthanoide
Sm # Lanthanoide
Eu # Lanthanoide
Gd # Lanthanoide
Tb # Lanthanoide
Dy # Lanthanoide
Ho # Lanthanoide
Er # Lanthanoide
Tm # Lanthanoide
Yb # Lanthanoide
Lu # Lanthanoide
Hf # Übergangsmetall
Ta # Übergangsmetall
W # Übergangsmetall
Re # Übergangsmetall
Os # Übergangsmetall
Ir # Übergangsmetall
Pt # Übergangsmetall
Au # Übergangsmetall
Hg # Übergangsmetall
Tl # Metall
Pb # Metall
Bi # Metall
Po # Metall
At # Halogen
Rn # Edelgas
Fr # Alkalimetall
Ra # Erdalkalimetall
Ac # Übergangsmetall
Th # Actinoide
Pa # Actinoide
U # Actinoide
Np # Actinoide
Pu # Actinoide
Am # Actinoide
Cm # Actinoide
Bk # Actinoide
Cf # Actinoide
Es # Actinoide
Fm # Actinoide
Md # Actinoide
No # Actinoide
Lr # Actinoide
Rf # Übergangsmetall
Db # Übergangsmetall
Sg # Übergangsmetall
Bh # Übergangsmetall
Hs # Übergangsmetall
Mt # unbekannt
Ds # unbekannt
Rg # unbekannt
