Geographie
Land # Hauptstadt
Was ist die Hauptstadt von <>?
In welchem Land ist <> Hauptstadt?
Norwegen # Oslo
Schweden # Stockholm
Finnland # Helsinki
Estland # Tallinn
Lettland # Riga
Litauen # Vilnius
Russland # Moskau
Belarus (Weißrussland) # Minsk
Deutschland # Berlin
Dänemark # Kopenhagen
Polen # Warschau
Tschechische Republik # Prag
Österreich # Wien
Schweiz # Bern
Liechtenstein # Vaduz
Frankreich # Paris
Luxemburg # Luxemburg
Belgien # Brüssel
Niederlande # Amsterdam
Spanien # Madrid
Andorra # Andorra la Vella
Portugal # Lissabon
Monaco # Monaco
Italien # Rom
Vatikanstadt # Vatikanstadt
San Marino # Stadt San Marino
Slowenien # Ljubljana
Slowakei # Bratislava
Ungarn # Budapest
Kroatien # Zagreb
Bosnien u. Herzegowina # Sarajevo
Serbien # Belgrad
Kosovo # Pristina
Nordmazedonien # Skopje
Montenegro # Podgorica
Albanien # Tirana
Griechenland # Athen
Bulgarien # Sofia
Rumänien # Bukarest
Republik Moldau # Chișinău
Ukraine # Kiew
Zypern # Nikosia
Malta # Valletta
Irland # Dublin
Großbritannien # London
Island # Reykjavík
Georgien # Tiflis
Armenien # Jerewan oder Eriwan
Aserbaidschan # Baku
Türkei # Ankara
Syrien # Damaskus
Libanon # Beirut
Israel # Jerusalem
Jordanien # Amman
Saudi-Arabien # Riad
Jemen # Sanaa
Oman # Maskat
Vereinigte Arabische Emirate # Abu Dhabi
Katar # Doha
Bahrain # Manama
Kuwait # Kuwait-City
Irak # Bagdad
Iran # Teheran
Turkmenistan # Aşgabat
Usbekistan # Taschkent
Kasachstan # Astana
Kirgisistan # Bischkek
Tadschikistan # Duschanbe
Afghanistan # Kabul
Pakistan # Islamabad
Mongolei # Ulaanbaatar
Nordkorea # Pjöngjang
Südkorea # Seoul
Japan # Tokyo
China # Beijing
Indien # Neu-Delhi
Nepal # Kathmandu
Bangladesch # Dhaka
Bhutan # Thimphu
Myanmar # Naypyidaw
Thailand # Bangkok
Laos # Vientiane
Vietnam # Hanoi
Kambodscha # Phnom Penh
Malaysia # Kuala Lumpur
Singapur # Singapur City
Indonesien # Jakarta
Brunei # Bandar Seri Begawan
Philippinen # Manila
Malediven # Malé
Sri Lanka # Colombo
Taiwan # Taipeh
Osttimor # Dili
Kanada # Ottawa
Vereinigte Staaten # Washington D.C.
Mexiko # Mexico-City
Bahamas # Nassau
Kuba # Havanna
Jamaika # Kingston
Haiti # Port-au-Prince
Dominikanische Republik # Santo Domingo
Antigua u. Barbuda # St. John's
St. Kitts u. Nevis # Basseterre
Dominica # Roseau
St. Lucia # Castries
Barbados # Bridgetown
St. Vincent u. d. Grenadinen # Kingstown
Grenada # St. George's
Trinidad u. Tobago # Port of Spain
Belize # Belmopan
Guatemala # Guatemala-City
El Salvador # San Salvador
Honduras # Tegucigalpa
Nicaragua # Managua
Costa Rica # San José
Panama # Panama-City
Kolumbien # Bogotá
Venezuela # Caracas
Guyana # Georgetown
Suriname # Paramaribo
Ecuador # Quito
Peru # Lima
Brasilien # Brasília
Bolivien # Sucre
Paraguay # Asunción
Uruguay # Montevideo
Chile # Santiago de Chile
Argentinien # Buenos Aires
Marokko # Rabat
Algerien # Algier
Tunesien # Tunis
Libyen # Tripolis
Ägypten # Kairo
Mauretanien # Nouakchott
Senegal # Dakar
Gambia # Banjul
Guinea-Bissau # Bissau
Guinea # Conakry
Sierra Leone # Freetown
Liberia # Monrovia
Elfenbeinküste # Yamoussoukro
Ghana # Accra
Burkina Faso # Ouagadougou
Togo # Lomé
Benin # Porto-Novo
Mali # Bamako
Niger # Niamey
Nigeria # Abuja
Tschad # N'Djamena
Sudan # Khartum
Südsudan # Juba
Eritrea # Asmara
Dschibuti # Dschibuti-City
Äthiopien # Addis Abeba
Somalia # Mogadischu
Uganda # Kampala
Ruanda # Kigali
Burundi # Gitega
Kenia # Nairobi
Tansania # Dodoma
Kamerun # Yaoundé
Äquatorialguinea # Malabo
Gabun # Libreville
Republik Kongo # Brazzaville
Demokratische Republik Kongo # Kinshasa
Zentralafrikanische Republik # Bangui
Angola # Luanda
Sambia # Lusaka
Simbabwe # Harare
Namibia # Windhoek
Malawi # Lilongwe
Mosambik # Maputo
Botswana # Gaborone
Südafrika  # Pretoria
Königreich Eswatini # Mbabane
Lesotho # Maseru
Madagaskar # Antananarivo
Komoren # Moroni
Seychellen # Victoria
Mauritius # Port Louis
São Tomé u. Príncipe # São Tomé
Kap Verde # Praia
Australien # Canberra
Neuseeland # Wellington
Papua-Neuguinea # Port Moresby
Salomonen # Honiara
Vanuatu # Port-Vila
Tonga # Nuku'alofa
Fidschi # Suva
Samoa # Apia
Nauru # Yaren
Cookinseln # Avarua
Tuvalu # Funafuti
Palau # Ngerulmud
Förderierte Staaten von Mikronesien # Palikir
Marshallinseln # Majuro
Kiribati # South Tarawa
